time,cloud_cover,evaporation,humidity,specific_humidity,precip,pressure,sea_level_pressure,thermal_rad,solar_rad,wind_speed,temp_2m,temp_max_24h,temp_min_24h,wind_u,wind_v,cloud_cover_lag1,cloud_cover_lag2,cloud_cover_lag3,cloud_cover_lag6,cloud_cover_lag12,evaporation_lag1,evaporation_lag2,evaporation_lag3,evaporation_lag6,evaporation_lag12,humidity_lag1,humidity_lag2,humidity_lag3,humidity_lag6,humidity_lag12,specific_humidity_lag1,specific_humidity_lag2,specific_humidity_lag3,specific_humidity_lag6,specific_humidity_lag12,precip_lag1,precip_lag2,precip_lag3,precip_lag6,precip_lag12,pressure_lag1,pressure_lag2,pressure_lag3,pressure_lag6,pressure_lag12,sea_level_pressure_lag1,sea_level_pressure_lag2,sea_level_pressure_lag3,sea_level_pressure_lag6,sea_level_pressure_lag12,thermal_rad_lag1,thermal_rad_lag2,thermal_rad_lag3,thermal_rad_lag6,thermal_rad_lag12,solar_rad_lag1,solar_rad_lag2,solar_rad_lag3,solar_rad_lag6,solar_rad_lag12,wind_speed_lag1,wind_speed_lag2,wind_speed_lag3,wind_speed_lag6,wind_speed_lag12,temp_2m_lag1,temp_2m_lag2,temp_2m_lag3,temp_2m_lag6,temp_2m_lag12,temp_max_24h_lag1,temp_max_24h_lag2,temp_max_24h_lag3,temp_max_24h_lag6,temp_max_24h_lag12,temp_min_24h_lag1,temp_min_24h_lag2,temp_min_24h_lag3,temp_min_24h_lag6,temp_min_24h_lag12,wind_u_lag1,wind_u_lag2,wind_u_lag3,wind_u_lag6,wind_u_lag12,wind_v_lag1,wind_v_lag2,wind_v_lag3,wind_v_lag6,wind_v_lag12,temp_2m_roll3,temp_2m_roll6,temp_2m_roll12,precip_roll3,precip_roll6,precip_roll12,humidity_roll3,humidity_roll6,humidity_roll12,pressure_roll3,pressure_roll6,pressure_roll12,solar_rad_roll3,solar_rad_roll6,solar_rad_roll12,month_sin,month_cos
2006-01-01,79.36217,5.6111,86.716064,19.093218,20.162052,1002.9656,1007.1459,436.2082,140.48087,5.302517151468553,26.335938,27.097849,25.722832,5.2710123,-0.5771633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.335938,26.335938,26.335938,20.162052,20.162052,20.162052,86.716064,86.716064,86.716064,1002.9656,1002.9656,1002.9656,140.48087,140.48087,140.48087,0.49999999999999994,0.8660254037844387
2006-02-01,73.43842,4.265333,84.85891,18.74281,12.325803,1003.9418,1008.2503,426.6054,188.60823,4.136971760958984,26.405119,27.159296,25.79262,4.128514,-0.26440027,79.36217,,,,,5.6111,,,,,86.716064,,,,,19.093218,,,,,20.162052,,,,,1002.9656,,,,,1007.1459,,,,,436.2082,,,,,140.48087,,,,,5.302517151468553,,,,,26.335938,,,,,27.097849,,,,,25.722832,,,,,5.2710123,,,,,-0.5771633,,,,,26.3705285,26.3705285,26.3705285,16.243927499999998,16.243927499999998,16.243927499999998,85.787487,85.787487,85.787487,1003.4537,1003.4537,1003.4537,164.54455000000002,164.54455000000002,164.54455000000002,0.8660254037844386,0.5000000000000001
2006-03-01,71.63203,3.6737201,84.303986,18.543362,10.332842,1005.7575,1009.9019,421.8593,206.99751,3.4863885929346115,26.37565,27.141308,25.682076,3.4136033,-0.70867336,73.43842,79.36217,,,,4.265333,5.6111,,,,84.85891,86.716064,,,,18.74281,19.093218,,,,12.325803,20.162052,,,,1003.9418,1002.9656,,,,1008.2503,1007.1459,,,,426.6054,436.2082,,,,188.60823,140.48087,,,,4.136971760958984,5.302517151468553,,,,26.405119,26.335938,,,,27.159296,27.097849,,,,25.79262,25.722832,,,,4.128514,5.2710123,,,,-0.26440027,-0.5771633,,,,26.372235666666665,26.372235666666665,26.372235666666665,14.273565666666665,14.273565666666665,14.273565666666665,85.29298666666666,85.29298666666666,85.29298666666666,1004.2216333333332,1004.2216333333332,1004.2216333333332,178.6955366666667,178.6955366666667,178.6955366666667,1.0,6.123233995736766e-17
2006-04-01,62.037495,3.4202783,80.13855,18.060158,4.096816,1006.9747,1011.04156,410.93658,247.10074,1.7202103362097845,26.822546,27.615881,26.050879,-1.7177787,0.0914327,71.63203,73.43842,79.36217,,,3.6737201,4.265333,5.6111,,,84.303986,84.85891,86.716064,,,18.543362,18.74281,19.093218,,,10.332842,12.325803,20.162052,,,1005.7575,1003.9418,1002.9656,,,1009.9019,1008.2503,1007.1459,,,421.8593,426.6054,436.2082,,,206.99751,188.60823,140.48087,,,3.4863885929346115,4.136971760958984,5.302517151468553,,,26.37565,26.405119,26.335938,,,27.141308,27.159296,27.097849,,,25.682076,25.79262,25.722832,,,3.4136033,4.128514,5.2710123,,,-0.70867336,-0.26440027,-0.5771633,,,26.53443833333333,26.48481325,26.48481325,8.918487,11.72937825,11.72937825,83.10048199999999,84.0043775,84.0043775,1005.558,1004.9099,1004.9099,214.23549333333335,195.7968375,195.7968375,0.8660254037844387,-0.4999999999999998
2006-05-01,74.40675,5.0150013,84.83174,18.783148,12.430239,1006.2236,1010.42865,426.45255,156.63829,4.929815006299932,26.505733,27.310652,25.835146,-4.658932,1.611654,62.037495,71.63203,73.43842,,,3.4202783,3.6737201,4.265333,,,80.13855,84.303986,84.85891,,,18.060158,18.543362,18.74281,,,4.096816,10.332842,12.325803,,,1006.9747,1005.7575,1003.9418,,,1011.04156,1009.9019,1008.2503,,,410.93658,421.8593,426.6054,,,247.10074,206.99751,188.60823,,,1.7202103362097845,3.4863885929346115,4.136971760958984,,,26.822546,26.37565,26.405119,,,27.615881,27.141308,27.159296,,,26.050879,25.682076,25.79262,,,-1.7177787,3.4136033,4.128514,,,0.0914327,-0.70867336,-0.26440027,,,26.567976333333334,26.4889972,26.4889972,8.953299,11.8695504,11.8695504,83.09142533333333,84.16985,84.16985,1006.3186,1005.17264,1005.17264,203.57884666666666,187.965128,187.965128,0.49999999999999994,-0.8660254037844387
2006-06-01,66.06504,7.692409,76.98897,17.478647,1.693404,1007.12726,1011.3342,402.4787,215.9326,8.792929600572647,26.934761,27.838936,26.103218,-7.6518717,4.3317976,74.40675,62.037495,71.63203,,,5.0150013,3.4202783,3.6737201,,,84.83174,80.13855,84.303986,,,18.783148,18.060158,18.543362,,,12.430239,4.096816,10.332842,,,1006.2236,1006.9747,1005.7575,,,1010.42865,1011.04156,1009.9019,,,426.45255,410.93658,421.8593,,,156.63829,247.10074,206.99751,,,4.929815006299932,1.7202103362097845,3.4863885929346115,,,26.505733,26.822546,26.37565,,,27.310652,27.615881,27.141308,,,25.835146,26.050879,25.682076,,,-4.658932,-1.7177787,3.4136033,,,1.611654,0.0914327,-0.70867336,,,26.754346666666667,26.56329116666667,26.56329116666667,6.073486333333334,10.173526,10.173526,80.65308666666665,82.97303666666666,82.97303666666666,1006.7751866666667,1005.49841,1005.49841,206.55721000000003,192.62637333333336,192.62637333333336,1.2246467991473532e-16,-1.0
2006-07-01,71.559456,6.055047,80.50074,17.4302,5.5764594,1006.7908,1011.07745,409.6704,188.56741,8.091188425358164,26.158964,27.014185,25.385746,-7.3304367,3.4252048,66.06504,74.40675,62.037495,79.36217,,7.692409,5.0150013,3.4202783,5.6111,,76.98897,84.83174,80.13855,86.716064,,17.478647,18.783148,18.060158,19.093218,,1.693404,12.430239,4.096816,20.162052,,1007.12726,1006.2236,1006.9747,1002.9656,,1011.3342,1010.42865,1011.04156,1007.1459,,402.4787,426.45255,410.93658,436.2082,,215.9326,156.63829,247.10074,140.48087,,8.792929600572647,4.929815006299932,1.7202103362097845,5.302517151468553,,26.934761,26.505733,26.822546,26.335938,,27.838936,27.310652,27.615881,27.097849,,26.103218,25.835146,26.050879,25.722832,,-7.6518717,-4.658932,-1.7177787,5.2710123,,4.3317976,1.611654,0.0914327,-0.5771633,,26.533152666666666,26.5337955,26.505530142857143,6.5667008,7.742593899999999,9.5168022,80.77381666666666,81.93714933333332,82.61985142857142,1006.7138866666668,1006.1359433333332,1005.6830371428571,187.04610000000002,200.6407966666667,192.04652142857142,-0.4999999999999997,-0.8660254037844388
2006-08-01,69.197845,5.2641635,78.437775,16.791399,0.8197344,1007.2272,1011.3339,398.493,245.28444,7.06976512550426,26.013266,26.88658,25.237822,-6.0696845,3.624984,71.559456,66.06504,74.40675,73.43842,,6.055047,7.692409,5.0150013,4.265333,,80.50074,76.98897,84.83174,84.85891,,17.4302,17.478647,18.783148,18.74281,,5.5764594,1.693404,12.430239,12.325803,,1006.7908,1007.12726,1006.2236,1003.9418,,1011.07745,1011.3342,1010.42865,1008.2503,,409.6704,402.4787,426.45255,426.6054,,188.56741,215.9326,156.63829,188.60823,,8.091188425358164,8.792929600572647,4.929815006299932,4.136971760958984,,26.158964,26.934761,26.505733,26.405119,,27.014185,27.838936,27.310652,27.159296,,25.385746,26.103218,25.835146,25.79262,,-7.3304367,-7.6518717,-4.658932,4.128514,,3.4252048,4.3317976,1.611654,-0.26440027,,26.368997000000004,26.468486666666667,26.443997125,2.6965326,5.824915799999999,8.429668725,78.642495,80.86696016666666,82.09709187499999,1007.0484200000001,1006.68351,1005.8760575,216.59481666666667,210.08683166666665,198.70126125000002,-0.8660254037844384,-0.5000000000000004
2006-09-01,66.804344,5.6705327,77.48381,16.513659,0.94299,1007.95154,1011.88666,398.22278,270.61816,7.365919846496363,25.975945,26.845942,25.181116,-6.180103,4.00788,69.197845,71.559456,66.06504,71.63203,,5.2641635,6.055047,7.692409,3.6737201,,78.437775,80.50074,76.98897,84.303986,,16.791399,17.4302,17.478647,18.543362,,0.8197344,5.5764594,1.693404,10.332842,,1007.2272,1006.7908,1007.12726,1005.7575,,1011.3339,1011.07745,1011.3342,1009.9019,,398.493,409.6704,402.4787,421.8593,,245.28444,188.56741,215.9326,206.99751,,7.06976512550426,8.091188425358164,8.792929600572647,3.4863885929346115,,26.013266,26.158964,26.934761,26.37565,,26.88658,27.014185,27.838936,27.141308,,25.237822,25.385746,26.103218,25.682076,,-6.0696845,-7.3304367,-7.6518717,3.4136033,,3.624984,3.4252048,4.3317976,-0.70867336,,26.049391666666665,26.401869166666668,26.391991333333333,2.4463946,4.259940466666667,7.597815533333334,78.80744166666666,79.73026416666666,81.584505,1007.32318,1007.0491833333334,1006.1066666666666,234.82333666666668,220.69027333333335,206.69202777777778,-1.0,-1.8369701987210297e-16
2006-10-01,67.400375,5.3169546,79.18985,17.045374,1.6591419,1008.91394,1012.846,404.47754,280.51913,7.327873894608343,26.146082,26.979403,25.394636,-6.416249,3.5397012,66.804344,69.197845,71.559456,62.037495,,5.6705327,5.2641635,6.055047,3.4202783,,77.48381,78.437775,80.50074,80.13855,,16.513659,16.791399,17.4302,18.060158,,0.94299,0.8197344,5.5764594,4.096816,,1007.95154,1007.2272,1006.7908,1006.9747,,1011.88666,1011.3339,1011.07745,1011.04156,,398.22278,398.493,409.6704,410.93658,,270.61816,245.28444,188.56741,247.10074,,7.365919846496363,7.06976512550426,8.091188425358164,1.7202103362097845,,25.975945,26.013266,26.158964,26.822546,,26.845942,26.88658,27.014185,27.615881,,25.181116,25.237822,25.385746,26.050879,,-6.180103,-6.0696845,-7.3304367,-1.7177787,,4.00788,3.624984,3.4252048,0.0914327,,26.045097666666667,26.289125166666665,26.3674004,1.1406221,3.85366145,7.003948169999999,78.37047833333334,79.57214749999999,81.3450395,1008.0308933333334,1007.3723900000001,1006.387394,265.47391,226.260005,214.07473799999997,-0.8660254037844386,0.5000000000000001
2006-11-01,62.603096,3.9012558,79.71389,17.374533,2.2017372,1007.211,1011.07104,403.98633,283.82648,5.108087827559085,26.32658,27.167027,25.54738,-4.49806,2.4207473,67.400375,66.804344,69.197845,74.40675,,5.3169546,5.6705327,5.2641635,5.0150013,,79.18985,77.48381,78.437775,84.83174,,17.045374,16.513659,16.791399,18.783148,,1.6591419,0.94299,0.8197344,12.430239,,1008.91394,1007.95154,1007.2272,1006.2236,,1012.846,1011.88666,1011.3339,1010.42865,,404.47754,398.22278,398.493,426.45255,,280.51913,270.61816,245.28444,156.63829,,7.327873894608343,7.365919846496363,7.06976512550426,4.929815006299932,,26.146082,25.975945,26.013266,26.505733,,26.979403,26.845942,26.88658,27.310652,,25.394636,25.181116,25.237822,25.835146,,-6.416249,-6.180103,-6.0696845,-4.658932,,3.5397012,4.00788,3.624984,1.611654,,26.149535666666665,26.259266333333333,26.363689454545455,1.6012897,2.14891115,6.567383536363637,78.79585000000002,78.7191725,81.19675318181818,1008.0254933333334,1007.5369566666667,1006.4622672727273,278.32125666666667,247.4580366666667,220.41580545454545,-0.5000000000000004,0.8660254037844384
