time,cloud_cover,evaporation,humidity,specific_humidity,precip,pressure,sea_level_pressure,thermal_rad,solar_rad,wind_speed,temp_2m,temp_max_24h,temp_min_24h,wind_u,wind_v
2006-01-01,79.36217,5.6111,86.716064,19.093218,20.162052,1002.9656,1007.1459,436.2082,140.48087,6.3937864,26.335938,27.097849,25.722832,5.2710123,-0.5771633
2006-02-01,73.43842,4.265333,84.85891,18.74281,12.325803,1003.9418,1008.2503,426.6054,188.60823,5.0231185,26.405119,27.159296,25.79262,4.128514,-0.26440027
2006-03-01,71.63203,3.6737201,84.303986,18.543362,10.332842,1005.7575,1009.9019,421.8593,206.99751,4.282362,26.37565,27.141308,25.682076,3.4136033,-0.70867336
2006-04-01,62.037495,3.4202783,80.13855,18.060158,4.096816,1006.9747,1011.04156,410.93658,247.10074,3.6812012,26.822546,27.615881,26.050879,-1.7177787,0.0914327
2006-05-01,74.40675,5.0150013,84.83174,18.783148,12.430239,1006.2236,1010.42865,426.45255,156.63829,5.902453,26.505733,27.310652,25.835146,-4.658932,1.611654
2006-06-01,66.06504,7.692409,76.98897,17.478647,1.693404,1007.12726,1011.3342,402.4787,215.9326,8.951772,26.934761,27.838936,26.103218,-7.6518717,4.3317976
2006-07-01,71.559456,6.055047,80.50074,17.4302,5.5764594,1006.7908,1011.07745,409.6704,188.56741,8.286632,26.158964,27.014185,25.385746,-7.3304367,3.4252048
2006-08-01,69.197845,5.2641635,78.437775,16.791399,0.8197344,1007.2272,1011.3339,398.493,245.28444,7.3352656,26.013266,26.88658,25.237822,-6.0696845,3.624984
2006-09-01,66.804344,5.6705327,77.48381,16.513659,0.94299,1007.95154,1011.88666,398.22278,270.61816,7.654338,25.975945,26.845942,25.181116,-6.180103,4.00788
2006-10-01,67.400375,5.3169546,79.18985,17.045374,1.6591419,1008.91394,1012.846,404.47754,280.51913,7.6215634,26.146082,26.979403,25.394636,-6.416249,3.5397012
2006-11-01,62.603096,3.9012558,79.71389,17.374533,2.2017372,1007.211,1011.07104,403.98633,283.82648,5.5858464,26.32658,27.167027,25.54738,-4.49806,2.4207473
2006-12-01,64.92112,3.4059262,81.70152,18.014507,4.3426194,1005.75214,1009.8297,411.57278,261.8495,4.5334873,26.469654,27.276827,25.742062,-2.9157624,1.5724155
2007-01-01,65.91055,3.7250834,82.97982,18.38195,7.992499,1004.24384,1008.4118,416.31042,237.719,4.0544763,26.459965,27.201189,25.798363,1.0110635,0.36700732
2007-02-01,66.827705,3.7994153,83.211815,18.762684,10.1571665,1004.6195,1008.9209,421.32242,221.67941,4.0776916,26.765007,27.52277,26.100973,2.2512202,-0.13892332
2007-03-01,66.561714,3.015621,81.261185,18.739489,6.0150084,1005.6363,1009.7981,417.16183,251.14693,3.1488545,27.155155,27.902382,26.444515,0.0552863899999999,-0.03685997
2007-04-01,69.87725,3.9004502,82.87633,19.047077,8.334489,1006.2975,1010.5099,422.8372,214.22679,4.048341,27.12496,27.964304,26.3438,-2.6552846,-0.010777549
2007-05-01,71.195595,4.5616026,84.03325,18.99847,11.504077,1004.9473,1009.3044,425.75037,169.78087,4.8549848,26.820896,27.601126,26.116722,-3.3918753,1.2945018
2007-06-01,74.1539,5.8810587,83.026436,18.6692,9.001498,1005.51086,1009.62286,422.20688,162.94966,6.8706546,26.738508,27.572235,26.015356,-5.092486,2.9115088
2007-07-01,74.74196,6.839937,82.72246,18.341108,9.289565,1005.0173,1009.27795,421.22495,163.5099,8.565752,26.507938,27.296728,25.822075,-6.975299,4.0950246
2007-08-01,73.973495,6.6145797,81.41645,17.98422,5.807446,1006.0775,1010.2772,418.12195,196.22018,8.473155,26.471907,27.278143,25.760593,-6.6162868,4.721914
2007-09-01,68.2618,5.3231792,79.88225,17.72113,2.2054687,1007.81335,1011.81,407.99353,253.1068,6.663469,26.594627,27.468115,25.813477,-4.837001,4.1623206
2007-10-01,68.17258,5.5572324,80.43429,17.8444,4.887769,1007.3273,1011.2859,414.37714,249.85435,6.876648,26.61811,27.541243,25.799158,-5.5240045,3.365201
2007-11-01,67.36916,5.0276537,80.08431,18.154734,5.881294,1006.3685,1010.22266,416.0468,238.71548,6.306254,26.958668,27.808071,26.186901,-5.602853,2.263905
2007-12-01,69.71053,3.6557062,82.76632,18.530455,6.401679,1004.6116,1008.7408,419.11612,239.58514,4.680319,26.689985,27.489721,25.981176,-3.1493466,1.6921179
2008-01-01,70.93849,3.9960144,83.49732,18.632227,9.055028,1004.3433,1008.6387,419.93445,229.27048,4.2935834,26.587057,27.325537,25.916965,0.6298377,0.6962433
2008-02-01,73.69669,4.1450577,84.026024,19.00588,11.501524,1003.8203,1008.12805,426.61795,204.57797,4.595327,26.802876,27.577095,26.125235,2.6441028,-0.7514763
2008-03-01,66.659874,3.0993843,82.56576,18.792675,8.326289,1005.21295,1009.41034,422.1343,229.53851,3.300042,26.933842,27.703735,26.20431,0.9515503,-0.6896693
2008-04-01,69.472176,3.9773865,81.83183,19.025782,7.0949783,1005.68726,1009.8966,421.45984,220.68803,4.0350213,27.316029,28.235624,26.468073,-3.0184891,0.02086639
2008-05-01,73.7338,6.0462475,83.04749,19.204983,10.912548,1005.23425,1009.275,428.06183,163.66562,6.626419,27.205462,28.044506,26.47712,-3.4846454,2.3072348
2008-06-01,75.11376,5.933303,83.61468,18.834154,10.374063,1005.1075,1009.35443,426.75507,145.90974,7.0429807,26.771797,27.613247,26.025496,-5.4449835,3.5123627
2008-07-01,73.39233,6.827606,80.72149,17.901804,8.759557,1006.0471,1010.2896,417.8794,164.87802,8.125945,26.556507,27.46409,25.731123,-6.780231,3.887141
2008-08-01,71.965034,6.118036,79.56968,17.39092,3.6097398,1007.00793,1011.2165,409.93964,211.71178,7.915595,26.327759,27.177599,25.575045,-6.3520427,4.2943807
2008-09-01,67.99421,6.0179615,76.71404,16.822853,1.2939167,1007.7942,1011.7728,399.84592,264.0268,7.9285674,26.464113,27.388279,25.633753,-6.478499,4.0875235
2008-10-01,66.88243,4.8444543,79.1477,17.392727,2.3981721,1008.4451,1012.3355,403.50574,277.80865,6.7761445,26.494791,27.373808,25.696436,-5.724302,2.987144
2008-11-01,65.038864,4.3926835,80.76293,17.954643,4.0869136,1006.424,1010.3997,413.31894,257.25543,6.1781583,26.630665,27.472683,25.852612,-5.3708067,2.2690508
2008-12-01,68.085266,3.7225206,82.599075,18.324759,4.4043956,1005.5811,1009.66187,417.6956,248.19994,4.921252,26.54305,27.351147,25.81972,-3.0785115,1.9892832
2009-01-01,66.63897,4.2421746,82.47773,18.348888,7.553746,1004.6639,1008.7277,416.6932,239.07709,4.5597835,26.532658,27.275402,25.870972,0.9326152,1.2642329
2009-02-01,61.006374,3.7600303,81.20645,18.330713,7.874825,1006.028,1010.35846,415.64304,248.21286,3.988549,26.815315,27.609844,26.088179,2.174946,-0.37025344
2009-03-01,70.97341,3.9942513,83.588135,18.822182,10.29628,1005.625,1009.8505,425.17197,203.20088,4.492025,26.767248,27.564043,26.059258,2.9598854,-0.88420355
2009-04-01,66.588646,3.580649,81.04316,18.296299,5.6278415,1005.9172,1010.12854,412.8945,232.64705,3.908399,26.815495,27.613386,26.084282,-0.5116363,0.7616319
2009-05-01,69.80598,4.6391816,83.40711,18.548914,7.1905255,1006.9115,1011.1484,418.6866,191.19301,5.5669837,26.592806,27.37869,25.893454,-4.441954,2.262351
2009-06-01,71.92175,6.781771,81.485985,18.548914,6.107948,1007.34607,1011.52264,414.85855,174.16356,8.485765,26.415234,27.19554,25.709154,-7.2085295,4.1660395
2009-07-01,65.32302,6.026161,80.927666,17.433916,2.6784387,1007.2381,1011.43274,404.93243,211.45909,8.160312,26.071453,26.874578,25.33643,-6.9590178,3.8899608
2009-08-01,68.933174,5.125671,81.136444,17.334295,1.7519698,1007.1144,1011.21344,404.63232,237.12231,7.4198556,25.943575,26.699339,25.253576,-6.0596485,3.6636925
2009-09-01,66.64975,6.0140424,77.38284,16.525759,0.9816304,1007.2571,1011.3506,396.63443,269.87064,7.887479,25.986105,26.838049,25.21633,-6.028112,4.5099387
2009-10-01,67.7294,5.022438,80.1528,16.992975,1.7959132,1008.55756,1012.5145,403.39145,277.70718,6.9362516,25.870846,26.686422,25.123356,-5.5551405,3.5277698
2009-11-01,64.093414,4.1389484,79.82431,17.086395,1.1153142,1008.2429,1012.1296,401.35797,296.2407,5.7064395,26.045439,26.88883,25.261845,-4.3620605,2.6877348
2009-12-01,68.533585,3.891108,82.935936,17.850578,5.703677,1006.2099,1010.298,414.83234,239.58865,5.0072217,26.024197,26.795696,25.332222,-2.5309753,2.0700278
2010-01-01,67.54334,4.227659,82.19221,18.003035,5.0564837,1006.7377,1010.8599,413.9782,257.52368,4.6629543,26.320223,27.139788,25.576904,-0.23107325,1.6788191
2010-02-01,62.857353,3.3420157,80.96218,18.317438,6.34841,1006.9892,1011.22296,413.8869,256.7414,3.491188,26.861433,27.61984,26.192953,0.5960518,0.51827157
2010-03-01,58.61823,2.9514425,79.20895,18.347902,4.8668003,1006.98755,1011.3048,411.63486,266.22864,2.930815,27.254467,27.990618,26.561634,-0.05606372,0.038257964
2010-04-01,67.615,3.3161423,81.742485,18.84237,6.788731,1006.39746,1010.63,420.1136,225.30708,3.4639254,27.17478,27.981184,26.417183,-1.4144965,-0.16297072
2010-05-01,68.1408,4.754784,83.13454,18.915,7.6462564,1006.4869,1010.73425,422.00748,184.0115,5.316254,26.950632,27.753048,26.242064,-3.3073962,1.1454774
2010-06-01,72.46924,6.03917,82.55625,18.448458,7.3170524,1007.43646,1011.4802,418.28024,172.77664,7.153272,26.67184,27.446798,25.981983,-5.6765714,3.7113302
2010-07-01,73.70419,6.7657666,81.010445,17.837862,4.3184967,1007.1998,1011.4559,413.9557,184.89015,8.485496,26.430197,27.18854,25.762285,-7.037044,4.3154364
2010-08-01,67.84047,6.84896,80.31542,16.933458,2.3485196,1008.2927,1012.52997,402.29816,229.63898,8.243694,25.74445,26.588753,25.01296,-5.9347587,5.194901
2010-09-01,67.943436,6.345061,77.68882,16.671259,0.702101,1008.2714,1012.27423,399.5727,269.68884,8.232184,26.097738,27.00947,25.280125,-6.2300563,4.8373165
2010-10-01,65.83335,4.762685,79.79515,17.276392,3.0548377,1008.49457,1012.3676,402.31766,276.42862,6.5749493,26.230078,27.03674,25.471052,-5.105506,2.9973505
